experiment,variable,value,prompt,seed,clip_score,gen_time_sec,image_path
exp2_steps,steps,50,a cozy cabin in a snowy forest,42,0.6571,23.56,results\exp2_steps_steps_50_seed42_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,50,a cozy cabin in a snowy forest,123,0.6531,23.63,results\exp2_steps_steps_50_seed123_a_cozy_cabin_in_a_sn.png
exp2_steps,steps,50,a cozy cabin in a snowy forest,999,0.6579,23.6,results\exp2_steps_steps_50_seed999_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,DDIM,a majestic lion in the savanna at sunset,42,0.6691,99.08,results\exp3_scheduler_scheduler_DDIM_seed42_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,DDIM,a majestic lion in the savanna at sunset,123,0.6571,80.39,results\exp3_scheduler_scheduler_DDIM_seed123_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,DDIM,a majestic lion in the savanna at sunset,999,0.6729,88.55,results\exp3_scheduler_scheduler_DDIM_seed999_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,DDIM,a futuristic city skyline with flying cars,42,0.6632,36.54,results\exp3_scheduler_scheduler_DDIM_seed42_a_futuristic_city_sk.png
exp3_scheduler,scheduler,DDIM,a futuristic city skyline with flying cars,123,0.6676,16.9,results\exp3_scheduler_scheduler_DDIM_seed123_a_futuristic_city_sk.png
exp3_scheduler,scheduler,DDIM,a futuristic city skyline with flying cars,999,0.6589,38.67,results\exp3_scheduler_scheduler_DDIM_seed999_a_futuristic_city_sk.png
exp3_scheduler,scheduler,DDIM,a cozy cabin in a snowy forest,42,0.6516,51.94,results\exp3_scheduler_scheduler_DDIM_seed42_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,DDIM,a cozy cabin in a snowy forest,123,0.6487,31.45,results\exp3_scheduler_scheduler_DDIM_seed123_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,DDIM,a cozy cabin in a snowy forest,999,0.6573,30.62,results\exp3_scheduler_scheduler_DDIM_seed999_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,PNDM,a majestic lion in the savanna at sunset,42,0.6509,47.07,results\exp3_scheduler_scheduler_PNDM_seed42_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,PNDM,a majestic lion in the savanna at sunset,123,0.6541,58.62,results\exp3_scheduler_scheduler_PNDM_seed123_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,PNDM,a majestic lion in the savanna at sunset,999,0.6697,23.14,results\exp3_scheduler_scheduler_PNDM_seed999_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,PNDM,a futuristic city skyline with flying cars,42,0.6643,33.82,results\exp3_scheduler_scheduler_PNDM_seed42_a_futuristic_city_sk.png
exp3_scheduler,scheduler,PNDM,a futuristic city skyline with flying cars,123,0.6674,72.31,results\exp3_scheduler_scheduler_PNDM_seed123_a_futuristic_city_sk.png
exp3_scheduler,scheduler,PNDM,a futuristic city skyline with flying cars,999,0.6613,68.56,results\exp3_scheduler_scheduler_PNDM_seed999_a_futuristic_city_sk.png
exp3_scheduler,scheduler,PNDM,a cozy cabin in a snowy forest,42,0.6526,33.4,results\exp3_scheduler_scheduler_PNDM_seed42_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,PNDM,a cozy cabin in a snowy forest,123,0.6517,91.32,results\exp3_scheduler_scheduler_PNDM_seed123_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,PNDM,a cozy cabin in a snowy forest,999,0.6593,38.65,results\exp3_scheduler_scheduler_PNDM_seed999_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,DPM++2M,a majestic lion in the savanna at sunset,42,0.6673,43.79,results\exp3_scheduler_scheduler_DPM++2M_seed42_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,DPM++2M,a majestic lion in the savanna at sunset,123,0.6531,33.44,results\exp3_scheduler_scheduler_DPM++2M_seed123_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,DPM++2M,a majestic lion in the savanna at sunset,999,0.6745,72.6,results\exp3_scheduler_scheduler_DPM++2M_seed999_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,DPM++2M,a futuristic city skyline with flying cars,42,0.6621,31.45,results\exp3_scheduler_scheduler_DPM++2M_seed42_a_futuristic_city_sk.png
exp3_scheduler,scheduler,DPM++2M,a futuristic city skyline with flying cars,123,0.6666,32.98,results\exp3_scheduler_scheduler_DPM++2M_seed123_a_futuristic_city_sk.png
exp3_scheduler,scheduler,DPM++2M,a futuristic city skyline with flying cars,999,0.6618,36.93,results\exp3_scheduler_scheduler_DPM++2M_seed999_a_futuristic_city_sk.png
exp3_scheduler,scheduler,DPM++2M,a cozy cabin in a snowy forest,42,0.6592,24.73,results\exp3_scheduler_scheduler_DPM++2M_seed42_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,DPM++2M,a cozy cabin in a snowy forest,123,0.6455,19.73,results\exp3_scheduler_scheduler_DPM++2M_seed123_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,DPM++2M,a cozy cabin in a snowy forest,999,0.6582,29.55,results\exp3_scheduler_scheduler_DPM++2M_seed999_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,Euler,a majestic lion in the savanna at sunset,42,0.6698,22.79,results\exp3_scheduler_scheduler_Euler_seed42_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,Euler,a majestic lion in the savanna at sunset,123,0.6555,40.64,results\exp3_scheduler_scheduler_Euler_seed123_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,Euler,a majestic lion in the savanna at sunset,999,0.6705,57.95,results\exp3_scheduler_scheduler_Euler_seed999_a_majestic_lion_in_t.png
exp3_scheduler,scheduler,Euler,a futuristic city skyline with flying cars,42,0.664,63.33,results\exp3_scheduler_scheduler_Euler_seed42_a_futuristic_city_sk.png
exp3_scheduler,scheduler,Euler,a futuristic city skyline with flying cars,123,0.6619,37.42,results\exp3_scheduler_scheduler_Euler_seed123_a_futuristic_city_sk.png
exp3_scheduler,scheduler,Euler,a futuristic city skyline with flying cars,999,0.6631,61.03,results\exp3_scheduler_scheduler_Euler_seed999_a_futuristic_city_sk.png
exp3_scheduler,scheduler,Euler,a cozy cabin in a snowy forest,42,0.6651,74.09,results\exp3_scheduler_scheduler_Euler_seed42_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,Euler,a cozy cabin in a snowy forest,123,0.6443,33.5,results\exp3_scheduler_scheduler_Euler_seed123_a_cozy_cabin_in_a_sn.png
exp3_scheduler,scheduler,Euler,a cozy cabin in a snowy forest,999,0.657,72.37,results\exp3_scheduler_scheduler_Euler_seed999_a_cozy_cabin_in_a_sn.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a majestic lion in the savanna at sunset,42,0.6713,9.53,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed42_a_majestic_lion_in_t.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a majestic lion in the savanna at sunset,123,0.6487,12.07,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed123_a_majestic_lion_in_t.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a majestic lion in the savanna at sunset,999,0.6666,14.02,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed999_a_majestic_lion_in_t.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a futuristic city skyline with flying cars,42,0.6574,14.7,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed42_a_futuristic_city_sk.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a futuristic city skyline with flying cars,123,0.6552,16.03,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed123_a_futuristic_city_sk.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a futuristic city skyline with flying cars,999,0.6662,16.8,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed999_a_futuristic_city_sk.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a cozy cabin in a snowy forest,42,0.6598,14.84,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed42_a_cozy_cabin_in_a_sn.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a cozy cabin in a snowy forest,123,0.6632,13.14,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed123_a_cozy_cabin_in_a_sn.png
exp5_model,model,CompVis/stable-diffusion-v1-4,a cozy cabin in a snowy forest,999,0.6563,12.26,results\exp5_model_model_CompVis-stable-diffusion-v1-4_seed999_a_cozy_cabin_in_a_sn.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a majestic lion in the savanna at sunset,42,0.6691,15.18,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed42_a_majestic_lion_in_t.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a majestic lion in the savanna at sunset,123,0.6571,12.32,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed123_a_majestic_lion_in_t.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a majestic lion in the savanna at sunset,999,0.6729,10.35,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed999_a_majestic_lion_in_t.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a futuristic city skyline with flying cars,42,0.6632,9.63,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed42_a_futuristic_city_sk.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a futuristic city skyline with flying cars,123,0.6676,12.66,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed123_a_futuristic_city_sk.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a futuristic city skyline with flying cars,999,0.6589,20.45,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed999_a_futuristic_city_sk.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a cozy cabin in a snowy forest,42,0.6516,12.15,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed42_a_cozy_cabin_in_a_sn.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a cozy cabin in a snowy forest,123,0.6487,11.26,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed123_a_cozy_cabin_in_a_sn.png
exp5_model,model,runwayml/stable-diffusion-v1-5,a cozy cabin in a snowy forest,999,0.6573,9.4,results\exp5_model_model_runwayml-stable-diffusion-v1-5_seed999_a_cozy_cabin_in_a_sn.png
